,pca1,pca2,label,albumName,albumImage,artisName,songTitle,acousticness,danceability,liveness,loudness,speechiness
190,0.48945237221205856,0.18241605174298772,0,What Am I,https://i.scdn.co/image/ab67616d0000b2738e66c9c48b8b48f72fb25195,Lola Marsh,What Am I,0.724,0.319,0.0927,-11.122,0.0354
191,0.583138294091927,0.11076598457332344,0,Táncdalfesztivál 66 & 67 - Válogatás,https://i.scdn.co/image/ab67616d0000b273f7eb2bd6e9d6ca0095218047,Various Artists,Csak egy tánc volt,0.829,0.468,0.0781,-10.66,0.0377
192,0.019489011901733022,0.016122137877548137,1,Bëlga 3,https://i.scdn.co/image/ab67616d0000b273a72ed8db52bfed892b35915f,Bëlga,Ló Rider,0.287,0.669,0.315,-7.727,0.44
193,-0.26586659111503697,0.10627480511753815,2,Unknown Pleasures,https://i.scdn.co/image/ab67616d0000b2733fb6bc46c932ca1ab168526a,Joy Division,Disorder - 2007 Remaster,0.00033,0.32,0.176,-7.078,0.124
194,-0.2095451385144677,-0.19153019002040786,1,New York City,https://i.scdn.co/image/ab67616d0000b273a6ca96bfc73c341b559a1584,Brazilian Girls,Good Time,0.0505,0.794,0.137,-6.373,0.0526
195,-0.20052239526234303,-0.20115921588919164,1,Csumpa,https://i.scdn.co/image/ab67616d0000b2732ba6cfad34b0ac430cc335bf,Bëlga,Mivót,0.0139,0.748,0.134,-8.212,0.0727
196,-0.27683366666077175,0.030164735216760302,2,At the Idyll's End,https://i.scdn.co/image/ab67616d0000b273a826c05608ad662dd743942e,Gustave Tiger,Sister Sybarite,0.000359,0.499,0.207,-6.525,0.032
197,0.26727347467870644,0.2457211026100059,0,Flow State,https://i.scdn.co/image/ab67616d0000b2735a8cb6a1b9f801c742f47672,Tash Sultana,Pink Moon,0.539,0.28,0.18,-9.355,0.0308
198,0.06535159621383141,0.15600287052780687,2,Flow State,https://i.scdn.co/image/ab67616d0000b2735a8cb6a1b9f801c742f47672,Tash Sultana,Harvest Love,0.314,0.276,0.122,-9.078,0.0295
199,-0.2022482023988728,-0.16526613869799278,1,Tempestes Vénen del Sud,https://i.scdn.co/image/ab67616d0000b273748dbc699610da5998ce2f74,ZOO,Estiu,0.0452,0.644,0.0824,-6.395,0.389
200,0.10011815426875346,-0.035749244077363546,1,Playlist: 90s Pop,https://i.scdn.co/image/ab67616d0000b273755a7fced7098982c4afbb46,Various Artists,Would I Lie To You?,0.389,0.738,0.201,-7.076,0.0368
201,0.5140779574200574,-0.25404478259943486,0,Make It Up,https://i.scdn.co/image/ab67616d0000b2737aa1f7b16f0ddef6646d772f,Tirzah,Make It Up,0.674,0.913,0.0804,-12.246,0.311
202,0.23539535755691463,-0.00793103054077689,0,Unknown Memory,https://i.scdn.co/image/ab67616d0000b2735635b14b0f233b060ce28946,Yung Lean,Yoshi City,0.476,0.546,0.0955,-9.059,0.211
203,-0.29805215393357476,0.35728122022495595,2,The Queen Is Dead,https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9,The Smiths,Bigmouth Strikes Again - 2011 Remaster,0.0704,0.401,0.538,-5.011,0.041
